SSA,MP concentration,HM concentration,Hydrated radius,Electronegativity,Molar mass,Temperature,pH,logQmax
1,2,179.23,4.19,1.9,63.55,30,6,1.586587305
1,2,229.862,4.19,1.9,63.55,30,6,1.586587305
1,2,25.46048,4.19,1.9,63.55,40,6,1.756636108
1,2,129.4556,4.19,1.9,63.55,40,6,1.756636108
1,2,158.8616,4.19,1.9,63.55,40,6,1.756636108
1,2,190.0322,4.19,1.9,63.55,40,6,1.756636108
1,2,240.2898,4.19,1.9,63.55,40,6,1.756636108
1,2,37.86408,4.26,1.6,112.41,20,6,2.531095547
1,2,71.165,4.26,1.6,112.41,20,6,2.531095547
1,2,108.8538,4.26,1.6,112.41,20,6,2.531095547
1,2,138.8347,4.26,1.6,112.41,20,6,2.531095547
1,2,175.6087,4.26,1.6,112.41,20,6,2.531095547
1,2,213.913,4.26,1.6,112.41,20,6,2.531095547
